"ID","group"
"GSM909136","NASH"
"GSM909137","NASH"
"GSM909138","NASH"
"GSM909139","NASH"
"GSM909140","NASH"
"GSM909141","NASH"
"GSM909142","NASH"
"GSM909143","NASH"
"GSM909144","control"
"GSM909145","control"
"GSM909146","control"
"GSM909147","control"
"GSM909148","control"
"GSM909149","control"
"GSM909150","control"
