"","GSM909136","GSM909137","GSM909138","GSM909139","GSM909140","GSM909141","GSM909142","GSM909143","GSM909144","GSM909145","GSM909146","GSM909147","GSM909148","GSM909149","GSM909150"
"ZNF891",2.41945647253333,2.3692728942,2.36224553526667,2.36861895633333,2.37177036873333,2.3684956386,2.365041654,2.56788698073333,2.3661203048,2.36470880073333,2.3756770038,2.34303705326667,2.35980860753333,2.36771285166667,2.3661203048
"ZNF883",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZNF880",2.94184733173333,2.4746239622,2.75208870313333,2.91794759773333,2.77310733573333,3.38144547186667,3.3632413006,2.5076296938,2.8153281298,3.6920523134,2.96166263233333,2.725256479,2.9033223026,3.23057902793333,3.7349094636
"ZNF879",2.34949603086667,2.3561366626,2.34927899966667,2.35445853533333,2.35731934,2.46267775673333,2.3509212192,2.3216613462,2.35209920453333,2.35261641993333,2.6094279596,2.3329975684,2.32731513873333,2.354939447,2.48960604353333
"ZNF876P",2.27327344,2.27327344,2.27327344,2.27327344,2.37613910693333,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2818656096,2.27327344,2.27327344,2.27327344
"ZNF865",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZNF862",4.23533995786667,4.1835283046,4.37896717486667,4.21006485413333,4.12077045646667,4.15447479613333,4.19750200173333,4.2184740782,4.18650781213333,4.26181641753333,4.2291337994,4.6595779744,4.19116263646667,4.32250920713333,4.2452762402
"ZNF853",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZNF852",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZNF85",2.27327344,2.27327344,2.28077051393333,2.27327344,2.27327344,2.27327344,2.27327344,2.51015416093333,2.27327344,2.27327344,2.42751104893333,2.27327344,2.27327344,2.27327344,2.27327344
"ZNF843",2.27364021466667,2.27474994453333,2.27425892973333,2.27464408146667,2.2771574464,2.2751621688,2.27498575533333,2.33598942413333,2.34500959866667,2.27841528626667,2.27535543886667,2.2734834396,2.27426534046667,2.27557546113333,2.27445556673333
"ZNF84",4.88630778693333,5.22210366373333,5.03273517173333,5.17383878466667,5.23362400806667,5.044424841,5.15751231126667,5.19530315273333,5.1570934586,5.4307597346,5.28035376633333,5.63063506026667,5.11948331766667,5.33174162226667,5.4260757324
"ZNF839",2.72398663793333,2.7182850104,2.6212351728,2.74613082826667,2.52985158273333,2.72648685713333,2.6575491704,2.7830917308,2.73059491306667,2.83070627653333,2.73144398686667,3.0020767888,2.68711430686667,2.7201827124,2.76400977166667
"ZNF837",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27865518506667
"ZNF836",3.0356144936,2.50911135266667,2.72828125206667,2.50911135266667,2.52335824786667,2.82931548473333,2.6314425098,2.27678650713333,2.51333053256667,2.514873156,2.5203934904,2.47479931306667,2.36171780633333,2.51369418826667,2.42928025086667
"ZNF831",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"ZNF830",5.76482452906667,5.746890081,5.84106785886667,5.5435025198,5.71249215593333,6.0122412634,5.5361427538,5.8629432958,5.7642280228,5.85315373486667,6.0899804312,5.8358203406,5.62585663693333,5.78028020946667,6.0037744474
